customer_id,age,annual_income,tenure_months,days_since_last_purchase,transactions,total_spend,premium_amount,claims_count,complaints_count,renewals_count,policies_count,channel,region,product_type,clv
CUST-000001,42.0,60503.86,38.2,38.3,8,1584.27,819.79,2,1,4,6,online,west,basic,4910.47
CUST-000002,36.0,111825.03,19.7,83.4,7,951.05,653.52,1,1,1,3,agent,north,premium,3868.28
CUST-000003,43.0,102696.16,44.3,23.1,3,404.81,218.72,0,0,3,4,branch,south,plus,3676.53
CUST-000004,29.0,70510.77,47.0,133.9,4,603.57,395.42,1,1,3,4,agent,south,enterprise,3342.02
CUST-000005,58.0,97063.72,7.1,56.8,5,867.89,713.01,0,0,1,2,online,east,plus,3601.73
CUST-000006,21.0,66348.86,16.1,29.8,8,1757.67,1369.72,2,0,2,4,online,east,premium,5050.83
CUST-000007,40.0,73017.69,35.8,35.3,6,949.51,739.85,0,0,2,3,agent,east,plus,3963.51
CUST-000008,39.0,56739.51,29.6,30.7,8,1181.16,650.92,0,4,2,5,partner,west,basic,4162.21
CUST-000009,40.0,42642.6,33.8,30.7,9,1517.07,698.98,0,0,1,3,partner,east,plus,3732.99
CUST-000010,32.0,65375.46,22.2,78.7,7,1084.57,855.11,1,0,0,1,agent,north,premium,3452.58
CUST-000011,24.0,68168.35,46.1,81.8,4,515.7,257.78,1,1,4,6,agent,north,basic,3298.82
CUST-000012,44.0,83497.1,44.7,57.6,5,972.75,616.13,1,1,4,6,agent,south,basic,5314.5
CUST-000013,39.0,87607.56,34.9,19.6,6,1461.19,1237.11,3,0,3,4,branch,north,basic,4569.44
CUST-000014,45.0,73610.09,49.5,42.8,2,147.92,95.03,1,2,5,7,agent,west,plus,1919.64
CUST-000015,23.0,57978.18,40.4,148.1,4,522.84,349.65,1,0,2,5,branch,west,plus,2948.99
CUST-000016,60.0,63975.68,22.2,194.2,2,184.84,166.4,0,1,0,3,online,east,premium,1262.87
CUST-000017,40.0,104458.49,39.1,88.8,9,981.58,861.1,0,1,2,5,partner,east,plus,4598.25
CUST-000018,18.0,87143.29,20.8,20.3,6,861.62,424.53,0,1,0,3,agent,east,enterprise,3681.26
CUST-000019,43.0,101429.83,46.1,43.1,5,657.18,563.48,1,1,3,5,agent,south,enterprise,4235.61
CUST-000020,36.0,107804.04,33.3,55.0,13,3356.36,2290.58,0,0,3,6,online,north,basic,6535.59
CUST-000021,29.0,63984.26,31.5,49.3,4,843.13,695.62,1,0,3,5,online,north,basic,3921.64
CUST-000022,55.0,90581.83,24.6,95.0,8,817.85,503.38,0,1,3,6,agent,south,basic,3877.6
CUST-000023,51.0,59579.23,50.8,76.4,6,493.78,444.35,0,1,4,6,partner,south,premium,3448.51
CUST-000024,45.0,94418.12,31.9,19.3,9,1720.18,1418.08,1,0,2,5,agent,west,basic,4933.94
CUST-000025,42.0,90719.6,28.1,28.5,12,2260.48,1494.68,0,0,2,3,agent,west,plus,6455.14
CUST-000026,47.0,37765.34,29.1,88.6,4,786.11,487.03,0,0,3,6,online,east,basic,3448.24
CUST-000027,24.0,83068.57,41.3,114.6,12,1144.82,628.72,1,0,2,3,online,south,plus,3917.04
CUST-000028,43.0,60400.37,39.0,55.5,13,2253.16,1305.56,3,1,1,4,agent,west,basic,4732.91
CUST-000029,55.0,69691.34,39.7,123.8,5,672.52,442.36,0,0,4,6,partner,south,premium,3238.83
CUST-000030,52.0,63944.17,39.9,51.1,5,827.11,509.9,1,1,3,5,agent,east,plus,3226.05
CUST-000031,29.0,92161.66,63.5,22.4,10,1387.43,1044.36,0,1,6,8,online,east,enterprise,4073.67
CUST-000032,43.0,63515.58,28.4,71.8,7,1825.03,1366.4,0,0,3,6,agent,south,enterprise,4218.75
CUST-000033,29.0,52796.09,26.9,248.6,5,1108.47,599.62,0,0,2,5,agent,east,premium,2551.87
