customer_id,age,annual_income,tenure_months,days_since_last_purchase,transactions,total_spend,premium_amount,claims_count,complaints_count,renewals_count,policies_count,channel,region,product_type,clv
RID-000001,37,56599.22,36,70.9,3,422.82,278.46,0,0,2,3,agent,north,plus,2372.91
RID-000002,44,39432.85,40.2,10.9,11,2000.83,1220.82,0,0,3,5,online,north,enterprise,4466.87
RID-000003,49,51480.98,32.2,22.1,6,655.07,450.49,1,0,2,5,online,east,basic,2626.94
RID-000004,48,76694.42,23.5,51.7,7,923.39,496.06,2,0,0,1,agent,east,basic,2643.79
RID-000005,33,96599.86,29.6,31.5,7,1188.84,834.3,0,0,3,4,online,south,enterprise,4806.52
RID-000006,41,66650.95,22.1,24.6,5,692.5,584.17,0,0,2,4,agent,south,enterprise,3595.58
RID-000007,18,73576.45,36.8,24.1,9,810.73,678.65,1,1,3,4,online,south,basic,4431.39
RID-000008,50,74062.47,54.8,140.2,4,584.94,440.15,0,0,4,6,online,south,plus,3492.95
RID-000009,42,88067.53,29.1,48.5,7,772.64,524.3,0,0,2,3,branch,east,premium,4320.43
RID-000010,40,53563.67,27.3,36.9,7,753.46,390.4,1,2,2,4,agent,east,premium,3234.96
RID-000011,39,71999.81,42.9,57.7,7,1303.64,1150.8,0,0,4,5,agent,east,plus,4965.79
RID-000012,23,54932.08,41,73.5,9,1771.61,1497.28,0,2,5,6,branch,north,plus,4268.6
RID-000013,45,84436.38,37.5,92.9,4,827.21,655.77,0,2,3,6,branch,south,plus,3192.16
RID-000014,43,92633.1,23,28.5,7,783.18,582.6,0,0,1,4,online,south,basic,4386.15
RID-000015,41,26149.1,35.6,50.8,8,979.8,843.62,3,0,4,6,agent,south,plus,3455.47
RID-000016,52,79237.91,45.7,19.8,6,1132.42,1003.45,0,1,4,7,online,south,plus,4201.71
RID-000017,40,70476.92,17.2,5.7,3,389.66,305.31,2,1,1,4,agent,north,basic,2910.75
RID-000018,37,90134.18,29.6,32.8,4,539.59,271.11,1,1,2,4,online,north,enterprise,3406.25
RID-000019,53,58856.67,9.4,55.6,14,2077.91,1840.4,3,0,1,4,agent,east,plus,3969.21
RID-000020,40,75199.06,17.9,67,12,992.24,507.09,0,0,0,1,online,east,basic,2731.78
RID-000021,33,48543.45,10.2,26.7,12,2803.75,1884.94,0,0,1,4,branch,south,premium,4034.28
RID-000022,20,91489.07,32.7,16.1,9,857.95,604.87,0,0,3,5,agent,west,premium,4560.21
RID-000023,37,123643.97,18.3,20,6,553.15,444.68,0,2,1,3,branch,east,premium,3918.23
RID-000024,38,80099.36,39.8,89.4,12,2537.78,1998.78,0,0,5,7,agent,east,plus,5181
RID-000025,31,107788.24,38.2,117.9,1,191.61,139.65,0,2,2,3,branch,east,enterprise,2519.19
RID-000026,46,107971.01,33.4,17.8,3,670.18,348.34,0,0,3,4,online,west,enterprise,4659.26
RID-000027,25,69245.64,1,55.7,7,1421.14,813.72,0,0,0,3,branch,north,premium,3913.56
RID-000028,41,76723.58,28.5,45.2,6,1154.48,688.9,0,0,2,5,online,north,plus,3859.63
RID-000029,42,78368.11,35.3,78.7,6,968.35,636.82,1,1,4,7,agent,south,enterprise,3408.24
RID-000030,52,97253.45,37.6,63.4,5,423.07,367.4,1,0,1,2,agent,east,premium,3499.5
RID-000031,42,60438.39,14.6,52.9,5,338.44,297.88,1,0,1,4,online,west,premium,2530.76
RID-000032,39,90670.81,29.3,85.7,6,970.98,500.81,0,1,2,5,agent,north,basic,4012.67
RID-000033,52,56677.9,22.3,129.2,9,1438.99,743.59,1,0,1,4,online,west,plus,3369.41
RID-000034,56,88861.16,24.7,10.6,6,645.64,514.9,0,1,2,3,branch,west,plus,4295.72
RID-000035,44,74324.13,50.9,85.5,2,203.64,152.48,1,2,4,6,agent,west,enterprise,2277
RID-000036,33,38316.72,24.7,37.2,10,1360.5,1166.23,1,1,2,4,online,south,basic,3701.53
RID-000037,47,66430.8,35.5,35.4,8,1139.92,912.12,1,2,4,6,online,north,premium,4678.94
