state,year,earnedPremium,netLossPaid,customerTenure,creditScore,paymentDelayDays,customerSatisfaction,claimCount,deductible,coverageAmount,marketingChannel,agentExperienceYears,discountRate
AZ,2021,24938.22,29.65,6,522,78,2.9,5,750,2006700.67,Branch,25,0.0164
NV,2024,24888.0,701.55,109,655,60,4.37,10,2000,2319428.44,Partner,40,0.0567
WA,2022,10818.37,5157.45,92,607,82,4.43,6,2500,199689.93,Partner,12,0.3852
NV,2021,10772.47,5189.35,42,717,44,3.51,5,250,4139760.66,Digital,31,0.1461
WA,2023,24753.55,73921.43,129,760,39,2.27,9,10000,2388420.98,Partner,27,0.1012
WA,2023,24902.24,1101.0,113,552,35,4.63,3,5000,2563449.52,Branch,11,0.2472
WA,2021,9299.08,5172.7,49,709,33,3.42,2,10000,1268191.34,Digital,25,0.0618
IL,2022,7192.37,155.56,129,717,90,2.8,1,250,3107652.97,Agent Referral,37,0.4203
IL,2023,21312.83,17951.87,36,607,59,2.69,2,5000,3382847.53,Partner,6,0.043
IL,2023,10324.88,7215.42,85,745,62,2.8,2,250,3151635.59,Agent Referral,9,0.0514
IL,2023,20054.95,51123.34,26,676,32,2.7,0,10000,2325462.81,Branch,19,0.1489
