total_spend,annual_income,monetary,average_order_value,frequency,premium_efficiency,age,renewals_count,monetary_per_tenure,complaints_count,claim_rate,tenure_band,region,channel,engagement_style
1392.93,38339.5,1392.93,198.99,7,1.1149148363962351,60.0,3,29.955483870967743,0,0.5,mature,south,online,digital
619.76,86517.7,619.76,88.53714285714285,7,1.9195341778424753,64.0,3,15.116097560975609,1,0.0,mature,south,online,digital
674.32,55392.85,674.32,112.38666666666667,6,1.1404989429175476,48.0,2,21.006853582554516,0,0.0,growing,north,online,digital
291.88,57168.78,291.88,145.94,2,1.2867786448000704,35.0,5,5.240215439856373,0,0.125,mature,north,online,digital
2270.24,102453.26,2270.24,252.24888888888887,9,1.1978451619030532,37.0,6,30.06940397350993,0,0.0,loyal,east,online,digital
1080.32,57481.26,1080.32,135.04,8,1.7159376091997838,49.0,4,23.953880266075387,0,0.3333333333333333,mature,south,partner,assisted
1682.27,74092.59,1682.27,168.227,10,1.302913659035286,41.0,0,323.5134615384615,2,0.0,new,east,online,digital
620.16,77521.88,620.16,77.52,8,1.4226137223866215,35.0,5,10.823036649214659,0,0.0,mature,south,branch,in_person
1725.14,74550.78,1725.14,215.6425,8,1.2476062368017589,62.0,0,292.3966101694915,0,0.3333333333333333,new,south,online,digital
569.28,82879.72,569.28,189.76,3,1.967580271662116,54.0,3,13.817475728155339,0,0.0,mature,north,agent,assisted
809.83,59874.36,809.83,202.4575,4,1.262302236770322,28.0,2,27.084615384615386,0,0.2,growing,east,branch,in_person
1282.55,74580.65,1282.55,213.75833333333333,6,1.984020172019058,38.0,3,25.24704724409449,1,0.25,mature,west,branch,in_person
1864.15,72413.97,1864.15,207.1277777777778,9,1.6290318352223574,42.0,6,34.77891791044776,0,0.14285714285714285,mature,west,online,digital
1152.54,82754.67,1152.54,164.64857142857142,7,1.5321236291126619,47.0,5,16.849999999999998,0,0.14285714285714285,mature,south,agent,assisted
1032.02,67309.07,1032.02,172.00333333333333,6,1.1412236954141832,31.0,2,40.9531746031746,0,0.3333333333333333,growing,east,agent,assisted
2342.6,72203.11,2342.6,234.26,10,1.211516283014672,46.0,3,42.285198555956676,1,0.16666666666666666,mature,east,online,digital
854.95,119580.02,854.95,106.86875,8,1.294633392895,54.0,3,19.56407322654462,1,0.0,mature,west,online,digital
1768.43,98748.38,1768.43,221.05375,8,1.4674671601291192,37.0,3,57.41655844155844,0,0.0,growing,north,agent,assisted
1147.87,101193.59,1147.87,143.48375,8,1.408706003632615,36.0,2,50.5669603524229,1,0.0,growing,west,online,digital
818.6,47421.89,818.6,90.95555555555556,9,1.736824238309429,46.0,4,17.454157782515992,1,0.0,mature,south,branch,in_person
719.81,61384.74,719.81,119.96833333333332,6,1.5594141987478065,39.0,3,23.070833333333333,0,0.0,growing,north,branch,in_person
631.89,39817.84,631.89,105.315,6,1.3849947396107312,30.0,2,19.50277777777778,0,0.0,growing,north,branch,in_person
363.86,73147.13,363.86,72.772,5,1.9537156357388317,39.0,2,11.40626959247649,1,0.25,growing,west,online,digital
352.96,98355.48,352.96,88.24,4,1.2100102845389098,20.0,4,9.096907216494845,0,0.42857142857142855,mature,south,online,digital
864.64,84280.18,864.64,96.07111111111111,9,1.920653960637967,37.0,0,864.64,1,0.3333333333333333,new,east,branch,in_person
