column,missing_count
fullpolicy_nb,0
customerid,0
year,0
policyeffective_dt,0
accounting_month,0
insureditem_tp,0
policyratedstate_tp,0
ratedcounty_tp,0
zip,0
hazard_score,0
integratedcoverage_tp,0
propertycoveragesubtype_tp,0
construction_tp,0
roof_tp,0
dwellingsquarefeet_ct,0
dwellingstory_ct,0
home_age_yr,0
has_mortgage,0
ratedinsuredage_ct,0
meritpoint_ct,0
creditmodel_cd,0
agent_channel,0
directwrittenpremium_am,0
earnedpremium_am,0
tax_am,0
commission_expense_am,0
admin_expense_am,0
ppcvrglimit_am,0
grosslosspaio_am,0
claimcount_ct,0
earnedexposure_ct,0
writenexposure_ct,0
policyterm_ct,0
seasonal_in,0
multiproductdiscount_flag,0
delequencyflag,0
discountrate,0
new_existing_recurring_flag,0
netloss_paid_am,0
policy_renewed_flag,0
customertenure,0
incomebracket,0
coverageamount,0
deductible,0
customersatisfaction,0
complaintcount,0
paymentmethod,0
paymentdelaydays,0
marketingchannel,0
agentexperienceyears,0
propertyvalue,0
householdincome,0
creditscore,0
