,count,mean,std,min,25%,50%,75%,max
fullpolicy_nb,50000.0,508666.74392,5341.148311534585,500001.0,504126.0,508270.0,512806.25,520248.0
year,50000.0,2023.0,1.4142277047208542,2021.0,2022.0,2023.0,2024.0,2025.0
zip,50000.0,63304.24512,33222.538244421725,10001.0,33101.0,77001.0,94105.0,99201.0
hazard_score,50000.0,41.4354328,13.133065340459892,5.0,31.76,40.82,50.62,92.5
dwellingsquarefeet_ct,50000.0,1850.00812,483.03720191392534,650.0,1488.0,1827.0,2189.0,3969.0
dwellingstory_ct,50000.0,1.62884,0.665949791037195,1.0,1.0,2.0,2.0,3.0
home_age_yr,50000.0,28.00898,13.569983870618454,0.0,18.0,28.0,37.0,82.0
has_mortgage,50000.0,0.58642,0.4924798821563035,0.0,0.0,1.0,1.0,1.0
ratedinsuredage_ct,50000.0,49.79902,12.66017822314729,23.0,41.0,50.0,58.0,86.0
meritpoint_ct,50000.0,0.34326,0.5962882554550877,0.0,0.0,0.0,1.0,5.0
directwrittenpremium_am,50000.0,2643.6647918,1433.1712581655136,450.0,1508.0925,2425.93,3489.9325,9500.0
earnedpremium_am,50000.0,2561.8766464,1398.5447539199965,374.64,1459.4025000000001,2347.3900000000003,3386.245,10123.32
tax_am,50000.0,194.4700186,105.94982974335592,31.5,108.69,180.59,260.41,807.5
commission_expense_am,50000.0,220.04375259999998,205.11181615483423,9.0,59.8,139.63,339.15749999999997,1425.0
admin_expense_am,50000.0,199.18135439999998,65.56609514166786,92.25,148.16,189.27,237.6925,527.5
ppcvrglimit_am,50000.0,539934.40146,283066.31419175945,90000.0,318857.0,484045.0,707993.75,2200000.0
grosslosspaio_am,50000.0,7746.4313824,21991.279598051315,0.0,0.0,0.0,0.0,385343.39
claimcount_ct,50000.0,0.29794,0.6235860274177668,0.0,0.0,0.0,0.0,4.0
earnedexposure_ct,50000.0,0.9153558199999999,0.15810504380387463,0.373,0.92,0.962,0.999,1.05
writenexposure_ct,50000.0,0.94493,0.1565336550256944,0.5,1.0,1.0,1.0,1.0
policyterm_ct,50000.0,11.33916,1.8784038603083333,6.0,12.0,12.0,12.0,12.0
seasonal_in,50000.0,0.3347,0.4718902029151189,0.0,0.0,0.0,1.0,1.0
multiproductdiscount_flag,50000.0,0.4069,0.4912608438949057,0.0,0.0,0.0,1.0,1.0
delequencyflag,50000.0,0.17678,0.3814862281063954,0.0,0.0,0.0,0.0,1.0
discountrate,50000.0,0.10148901,0.031349822934872554,0.04,0.0774,0.0998,0.1234,0.2
netloss_paid_am,50000.0,7329.6187398,21351.55730925789,0.0,0.0,0.0,0.0,379823.39
policy_renewed_flag,50000.0,0.75028,0.43285525164121263,0.0,1.0,1.0,1.0,1.0
customertenure,50000.0,2.17378,1.2525541463097667,1.0,1.0,2.0,3.0,5.0
coverageamount,50000.0,539934.40146,283066.31419175945,90000.0,318857.0,484045.0,707993.75,2200000.0
deductible,50000.0,1536.56,1223.1816258699266,500.0,1000.0,1000.0,2000.0,5000.0
customersatisfaction,50000.0,4.04084,0.6844132252004315,1.0,4.0,4.0,4.0,5.0
complaintcount,50000.0,0.3145,0.6132513934312999,0.0,0.0,0.0,0.0,7.0
paymentdelaydays,50000.0,2.34424,2.5294400138638737,0.0,1.0,2.0,3.0,24.0
agentexperienceyears,50000.0,7.3951,3.459785454664472,1.0,5.0,7.0,10.0,21.0
propertyvalue,50000.0,622377.94688,309186.29683779343,120000.0,374539.75,567055.5,817351.5,2071286.0
householdincome,50000.0,89176.37364,43037.619192128506,24851.0,58627.0,80275.5,109519.5,385539.0
creditscore,50000.0,680.6902,57.99862636970995,520.0,642.0,680.0,719.0,820.0
