feature,importance,importance_std
netloss_paid_am,2.068035661574314,0.07848226165878028
monetary,0.0036417993136724364,0.00016190436938629885
directwrittenpremium_am,0.0036417993136500654,0.00016190436938531637
claim_rate,2.3717151662050462e-07,2.0153272555269383e-07
monetary_per_tenure,1.367311566607965e-07,7.518393422906837e-08
claimcount_ct,1.2916756360337178e-07,1.445908488449773e-07
zip,1.1409877362367205e-07,1.3268011396210135e-07
commission_expense_am,1.012240399000941e-07,6.746503269668153e-08
dwellingsquarefeet_ct,4.851391237348235e-08,1.648068099970402e-08
hazard_score,2.529378620441669e-08,7.90751431319063e-08
policy_renewed_flag,1.9865231903892777e-08,1.2753002472239416e-08
householdincome,-7.56854040551147e-09,6.116681813496387e-09
